AOI_setting,ml,features,acc
Title_para,randomForest,"('Difficulty_1',)",0.64
Title_para,randomForest,"('Paragraph_Number', 'Answer')",0.6122222222222223
Title_para,randomForest,"('Paragraph_Number', 'Answer', 'Difficulty_1')",0.6161111111111112
Title_para,randomForest,"('Paragraph_Number', 'Difficulty_1')",0.6333333333333333
Title_para,randomForest,"('Paragraph_Number',)",0.6416666666666666
Title_para,randomForest,"('Text ID', 'Answer')",0.601111111111111
Title_para,randomForest,"('Text ID', 'Answer', 'Difficulty_1')",0.6288888888888889
Title_para,randomForest,"('Text ID', 'Difficulty_1')",0.6266666666666666
Title_para,randomForest,"('Text ID', 'Paragraph_Number')",0.6533333333333333
Title_para,randomForest,"('Text ID', 'Paragraph_Number', 'Answer')",0.6172222222222222
Title_para,randomForest,"('Text ID', 'Paragraph_Number', 'Answer', 'Difficulty_1')",0.6222222222222222
Title_para,randomForest,"('Text ID', 'Paragraph_Number', 'Difficulty_1')",0.6555555555555554
Title_para,randomForest,"('Text ID',)",0.6272222222222222
Title_para,randomForest,(),0.6444444444444445
Title_para_questions,logistic,"(' AOI Name', 'Answer')",0.45694444444444443
Title_para_questions,logistic,"(' AOI Name', 'Answer', 'Difficulty_1')",0.4681944444444444
Title_para_questions,logistic,"(' AOI Name', 'Answer', 'Difficulty_1', 'Flag')",0.46694444444444444
Title_para_questions,logistic,"(' AOI Name', 'Answer', 'Flag')",0.4847222222222222
Title_para_questions,logistic,"(' AOI Name', 'Difficulty_1')",0.48583333333333334
Title_para_questions,logistic,"(' AOI Name', 'Difficulty_1', 'Flag')",0.5004166666666667
Title_para_questions,logistic,"(' AOI Name', 'Flag')",0.4838888888888888
Title_para_questions,logistic,"(' AOI Name', 'Paragraph_Number')",0.47124999999999995
Title_para_questions,logistic,"(' AOI Name', 'Paragraph_Number', 'Answer')",0.45569444444444446
Title_para_questions,logistic,"(' AOI Name', 'Paragraph_Number', 'Answer', 'Difficulty_1')",0.4618055555555555
Title_para_questions,logistic,"(' AOI Name', 'Paragraph_Number', 'Answer', 'Difficulty_1', 'Flag')",0.4534722222222222
Title_para_questions,logistic,"(' AOI Name', 'Paragraph_Number', 'Answer', 'Flag')",0.4569444444444444
Title_para_questions,logistic,"(' AOI Name', 'Paragraph_Number', 'Difficulty_1')",0.48527777777777775
Title_para_questions,logistic,"(' AOI Name', 'Paragraph_Number', 'Difficulty_1', 'Flag')",0.4995833333333333
Title_para_questions,logistic,"(' AOI Name', 'Paragraph_Number', 'Flag')",0.4863888888888889
Title_para_questions,logistic,"(' AOI Name', 'Text ID')",0.5036111111111111
Title_para_questions,logistic,"(' AOI Name', 'Text ID', 'Answer')",0.4802777777777778
Title_para_questions,logistic,"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1')",0.4684722222222222
Title_para_questions,logistic,"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1', 'Flag')",0.4655555555555555
Title_para_questions,logistic,"(' AOI Name', 'Text ID', 'Answer', 'Flag')",0.4563888888888889
Title_para_questions,logistic,"(' AOI Name', 'Text ID', 'Difficulty_1')",0.4958333333333333
Title_para_questions,logistic,"(' AOI Name', 'Text ID', 'Difficulty_1', 'Flag')",0.49263888888888885
Title_para_questions,logistic,"(' AOI Name', 'Text ID', 'Flag')",0.47986111111111107
Title_para_questions,logistic,"(' AOI Name', 'Text ID', 'Paragraph_Number')",0.48597222222222225
Title_para_questions,logistic,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer')",0.45375000000000004
Title_para_questions,logistic,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Difficulty_1')",0.4749999999999999
Title_para_questions,logistic,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Difficulty_1', 'Flag')",0.4693055555555555
Title_para_questions,logistic,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Flag')",0.46749999999999997
Title_para_questions,logistic,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1')",0.49486111111111103
Title_para_questions,logistic,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1', 'Flag')",0.49916666666666654
Title_para_questions,logistic,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Flag')",0.47013888888888894
Title_para_questions,logistic,"(' AOI Name',)",0.47874999999999995
Title_para_questions,logistic,"('Answer', 'Difficulty_1')",0.4663888888888889
Title_para_questions,logistic,"('Answer', 'Difficulty_1', 'Flag')",0.46666666666666673
Title_para_questions,logistic,"('Answer', 'Flag')",0.4565277777777778
Title_para_questions,logistic,"('Answer',)",0.4609722222222223
Title_para_questions,logistic,"('Difficulty_1', 'Flag')",0.47708333333333325
Title_para_questions,logistic,"('Difficulty_1',)",0.4723611111111112
Title_para_questions,logistic,"('Flag',)",0.48000000000000004
Title_para_questions,logistic,"('Paragraph_Number', 'Answer')",0.4893055555555555
Title_para_questions,logistic,"('Paragraph_Number', 'Answer', 'Difficulty_1')",0.47277777777777774
Title_para_questions,logistic,"('Paragraph_Number', 'Answer', 'Difficulty_1', 'Flag')",0.47736111111111107
Title_para_questions,logistic,"('Paragraph_Number', 'Answer', 'Flag')",0.47430555555555554
Title_para_questions,logistic,"('Paragraph_Number', 'Difficulty_1')",0.4893055555555556
Title_para_questions,logistic,"('Paragraph_Number', 'Difficulty_1', 'Flag')",0.48680555555555555
Title_para_questions,logistic,"('Paragraph_Number', 'Flag')",0.46305555555555555
Title_para_questions,logistic,"('Paragraph_Number',)",0.47694444444444445
Title_para_questions,logistic,"('Text ID', 'Answer')",0.4709722222222223
Title_para_questions,logistic,"('Text ID', 'Answer', 'Difficulty_1')",0.4702777777777778
Title_para_questions,logistic,"('Text ID', 'Answer', 'Difficulty_1', 'Flag')",0.4481944444444444
Title_para_questions,logistic,"('Text ID', 'Answer', 'Flag')",0.4731944444444444
Title_para_questions,logistic,"('Text ID', 'Difficulty_1')",0.4726388888888889
Title_para_questions,logistic,"('Text ID', 'Difficulty_1', 'Flag')",0.484861111111111
Title_para_questions,logistic,"('Text ID', 'Flag')",0.4790277777777778
Title_para_questions,logistic,"('Text ID', 'Paragraph_Number')",0.49
Title_para_questions,logistic,"('Text ID', 'Paragraph_Number', 'Answer')",0.4613888888888889
Title_para_questions,logistic,"('Text ID', 'Paragraph_Number', 'Answer', 'Difficulty_1')",0.4691666666666667
Title_para_questions,logistic,"('Text ID', 'Paragraph_Number', 'Answer', 'Difficulty_1', 'Flag')",0.4644444444444444
